title,original_title,artist,guest_artists,circle,price,franchise,url
AIKOIII,,AIKO,,AISHOP,"¥1,650",Azur Lane,https://www.melonbooks.co.jp/detail/detail.php?product_id=1033064
AIKO PERSONAL COLLECTION S,,AIKO,,AISHOP,"¥1,650",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1572980
BOTANICAL,,遠坂あさぎ,,AliceSyndrome*,"¥1,815",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=1789192
Endless End,,風間雷太,,Apocrypha,"¥1,100",Nier,https://www.melonbooks.co.jp/detail/detail.php?product_id=1192457
tarou's kicks vol.1,,tarou2,,atmosphere,"¥1,650",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1153534
tarou's kicks vol.2,,tarou2,,atmosphere,"¥1,650",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=608053
tarou's kicks vol.3,,tarou2,,atmosphere,"¥1,650",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1166455
genshin achievement: Ver2021.12,,marumoru,,Blue apple,"¥1,595",Genshin Impact,https://www.melonbooks.co.jp/detail/detail.php?product_id=1166440
AMELIART,,なび,"Hitsu, らんぐ",Butterfly,"¥1,100",Hololive,https://www.melonbooks.co.jp/detail/detail.php?product_id=772440
ふゆのおんなのこ,,森倉円,,CANVAS,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=449475
hello summer,ハローサマー,森倉円,,CANVAS,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=392903
Vacation!,,森倉円,,CANVAS,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=545773
Lingerie Bouquet,,森倉円,,CANVAS,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=727425
CANVAS BOOK 3,,森倉円,,CANVAS,¥770,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=274523
Stay with me.,,森倉円,,CANVAS,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1733285
MORIKURA NOTE,,森倉円,,CANVAS,¥660,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1463189
OTOGI,,森倉円,,CANVAS,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1180199
GEMME【新刊セット】,,森倉円,,CANVAS,"¥1,430",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1568460
COSTUME!!,,ちょこ庵,,Chocolate Sheep,"¥1,257",Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=1026048
